Title,Description
Schlagfertigkeit lernen: Die 30 besten Schlagfertigkeits-Techniken,"Jeder redet davon, aber was ist genau Schlagfertigkeit und wie kannst Du lernen schlagfertig zu werden?

Schlagfertigkeit könnte man sagen, ist die Kunst schnell auf eine Aussage zu reagieren, und zwar nicht mit einem trockenen Spruch, sondern mit einer witzigen oder passenden Antwort. So einfach es sich auch anhören mag, fast alle müssen es erstmal lernen und entsprechend trainieren, denn häufig ist es nicht jedem in die Wiege gelegt worden. Aber keine Panik! Mit unseren 30 Schlagfertigkeitstechniken wird es Dir ganz einfach fallen und Du musst nie mehr eine Aussage auf Dir sitzen lassen. Entdecke den Schlagfertigkeitsprofi in Dir und verblüffe Deine Mitmenschen mit Schlagfertigkeitstechniken!

Dir fallen auch erst nach Stunden die richtigen Antworten ein und Du ärgerst Dich, wieso Du nicht spontan den passenden Spruch parat hattest? Das geht vielen so, aber schlagfertig werden ist einfacher als Du denkst. Besuche unseren Online-Kurs zu den besten 30 Schlagfertigkeitstechniken und finde heraus, welche Technik Dir besonders liegt. Such nicht mehr ewig lang nach Worten und finde durch unseren Online-Kurs die treffenden Antworten in jeder Situation.

Du lernst, wie Du Aussagen gekonnt konterst und parierst, sodass Dein Gegenüber Dir nichts mehr entgegenzusetzen hat. Durch unser Schlagfertigkeitstraining lernst Du nicht nur, wie Du sprachlich eine gute Figur machst, sondern auch wie du selbstbewusst auftrittst.

Sowohl im Alltag als auch im Berufsleben begegnen wir ständig Situationen, in denen wir schlagfertig werden müssen, ob ein Freund, der einen Witz auf Deine Kosten erzählt oder ein fieser Arbeitskollege. In dieser Situation ist es schwer ein guter Konter zu finden und im Nachhinein ist man enttäuscht von seiner eigenen Zurückhaltung. Mit den Experten von MyCompetence powered by TÜV Rheinland helfen wir Dir deine Schlagfertigkeit zu lernen. Unser Coach Wlad, mit langjähriger Erfahrung, zeigt Dir wie Schlagfertigkeit trainieren richtig geht! Und gibt Dir allerhand Tipps und Tricks für Dein nächstes Sprachduell an die Hand."
Embargos und Finanzsanktionen - Online-Training,"Finanzsanktionen, als Teilbereich der Embargos, haben sich mittlerweile zu einem starken, außenpolitischen Instrument entwickelt. Ziel ist es, Terroristen, Drogenhändler und Unternehmen, die als Handlanger von Staaten oder kriminellen Organisationen agieren, vom globalen Finanzmarkt zu isolieren und somit zu schwächen. In diesem Online-Training geben wir einen fundierten Einblick in das Thema Embargos und Finanzsanktionen. Du lernst verschiedene Arten von Embargos und wichtige Sanktionslisten sowie rechtliche Zusammenhänge und Systematiken der Finanzsanktionen kennen. Außerdem erfährst Du, welche Maßnahmen Du in der Praxis ergreifen kannst, um kostspielige Fehler, Haftungsfallen und Risiken zu vermeiden."
AGG Allgemeines Gleichbehandlungsgesetz für Führungskräfte,"Eine globalisierte Welt ohne Toleranz und Kooperation ist unvorstellbar. Leider ist Diskriminierung und Mobbing noch immer im Arbeitsalltag zu finden. Ziel des Allgemeinen Gleichbehandlungsgesetzes ist es, Mitarbeiter am Arbeitsplatz zu schützen. Als Führungskraft kannst Du Dich mit diesem Lernprogramm sensibilisieren und frühzeitig erkennen, wann Du einschreiten solltest. Ebenso lernst Du, wie Du auch Deine Mitarbeiter über rechtliche Grundlagen informieren kannst."
Geldwäsche-Prävention - Online-Kurs für Güterhändler,"Geldwäsche ist ein Tatbestand, der aus Nachrichten und Zeitungen bekannt ist. Nur durch konsequente Achtsamkeit im beruflichen Alltag lassen sich persönliche Strafen verhindern und den Arbeitgeber vor finanziellen Einbußen und Imageschäden schützen. Mit diesem Lernprogramm lernst Du, Anzeichen von Geldwäsche zu erkennen, gesetzeskonform zu reagieren und somit Deinen Arbeitgeber vor finanziellen Einbußen zu schützen."
AGG Allgemeines Gleichbehandlungsgesetz für Beschäftigte,"Eine globalisierte Welt ohne Toleranz und Kooperation ist unvorstellbar. Leider ist Diskriminierung und Mobbing noch immer im Arbeitsalltag zu finden. Ziel des Allgemeinen Gleichbehandlungsgesetzes ist es, Sie am Arbeitsplatz zu schützen. Als Mitarbeiter eines Unternehmens können Sie sich mit diesem Lernprogramm sensibilisieren. Anhand von Praxisbeispielen auf Basis rechtlicher Grundlagen, wird Ihnen korrektes Verhalten im Umgang mit Diskriminierung und Mobbing gezeigt."
Anti-Korruption - Online Training,"Korruption bedeutet Missbrauch eines öffentlichen Amtes, einer Wirtschaftsfunktion oder eines politischen Mandats zugunsten eines Dritten. Wie tritt Korruption im Alltag auf und welche Folgen kann sie haben? Nach einer kurzen Einführung kannst Du Dein Wissen zum Thema Compliance anhand einer Reihe von beispielhaften Szenarien aus der betrieblichen Praxis überprüfen. Die Module können nacheinander durchgearbeitet werden, oder nach Schwerpunkten über den Verteiler ausgewählt werden. Das E-Learning ist Teil einer Serie von Compliance-Schulungen und wurde in Zusammenarbeit mit eine Compliance Officer entwickelt."
Betrugsbekämpfung Online-Kurs - Aufbaumodul für Finanzdienstleister,Dieser Kurs ist speziell für Finanzdienstleister entwickelt und richtet den Fokus auf Betrugsbekämpfung im Finanzbereich. Er schildert die Schritte der Betrugsbekämpfung und erläutert anhand von praktischen Fallbeispielen verschiedene Betrugsszenarien. Darüber hinaus lernst Du das Vier-Augen-Prinzip und Strategien gegen betrügerische Handlungen kennen.
Betrugsbekämpfung Online-Kurs - Aufbaumodul für Führungskräfte,"Angepasst an die Aufgaben der Führungsebene, erhältst Du in diesem Kurs vertiefende Informationen zum Thema Betrugsbekämpfung. Als Führungskraft eines Unternehmens bist Du dazu verpflichtet, geschäftsschädigende Handlungen aufzuklären und weitere Schäden zu verhindern. Du lernst hier, wie Du durch das Vier-Augen-Prinzip das Risiko von Fehlern und Missbrauch reduzieren kannst. Zudem wird das Anti-Fraud-Management thematisiert und das Betrugsdreieck analysiert."
Betrugsbekämpfung Online-Kurs - Basismodul,"Durch Betrug entsteht jährlich ein Schaden in Milliardenhöhe. Ob privat oder im Arbeitsalltag – Betrug ist keine harmlose Straftat. Du lernst in diesem Kurs Merkmale von Betrug auf nationaler und internationaler Ebene kennen. Ebenso erfährst Du, welche rechtlichen Konsequenzen bei Betrug drohen und was die langfristigen Ziele der Betrugsbekämpfung sind."
Compliance Management im Einkauf - Online-Seminar,Etwa die Hälfte aller wirtschaftskriminellen Handlungen in Unternehmen wird im Bereich der Materialwirtschaft bzw. des Einkaufs verübt. Durch Prävention und Kontrolle im Unternehmen können strafbare Handlungen verhindert werden und die Reputation des Unternehmens und der Beschäftigten geschützt werden.
Laterale Führung - Wirksam Führen ohne Vorgesetzenfunktion,"In diesem e-Learning wird Ihnen die Bedeutung und Relevanz von lateraler Führung nähergebracht. Sie lernen den Unterschied zwischen lateraler und disziplinarischer Führung kennen. Außerdem werden Sie die Funktionsweise lateraler Führung, auch ohne disziplinarische Macht, verstehen und Instrumente lateraler Führung und deren Nutzen kennenlernen. Außerdem lernen Sie, wie Sie einen konstruktiven Umgang mit möglichen Konflikten pflegen können."
Trennungsgespräche führen,"In dieser Lerneinheit lernen Sie, wie man Trennungsgespräche vorbereitet und durchführt. Sie werden die typischen Reaktionen kennenlernen, wissen, wie man mit diesen umgeht und wie man die eigenen Emotionen im Gespräch regulieren kann. Anschließend wissen Sie auch, was es bei virtuellen Trennungsgesprächen zu beachten gilt."
Agile Führung,"In der Lerneinheit zur agilen Führung erfahren Sie die Bedeutung des Mindsets für agiles Arbeiten. Sie werden zwischen Mindset, Skillset und Toolset zu unterscheiden lernen, die wichtigsten Skills für agiles Arbeiten kennenlernen und die wichtigsten Tools für agiles Arbeiten einsetzen können."
Fremdpersonal richtig einsetzen - Was Führungskräfte wissen müssen,"In diesem e-Learning lernen Sie die Möglichkeiten des Fremdpersonaleinsatzes kennen, sowie entscheidende Faktoren über den zu wählenden Vertrag kennen. Dadurch sind Sie in der Lage, Verträge richtig zu gestalten, um illegale Beschäftigungsverhältnisse zu vermeiden. Sie lernen außerdem über die Art und Weise, in der das Arbeitsverhältnis gelebt wird, zu entscheiden und Sachverhalte schnell einzuordnen und im Zweifel Fachleute hinzuzuziehen."
Change Management - Veränderungsprozess erfolgreich gestalten,"In dieser Lerneinheit lernen Sie, wie Sie Veränderungsprozesse erfolgreich gestalten, was einige der bekanntesten Veränderungsmodelle gemeinsam haben, welche Phasen in den allermeisten Veränderungsprozessen durchlaufen werden und welche konkreten Maßnahmen und Tools Sie in den einzelnen Phasen nutzen können. Außerdem erfahren Sie, wie Sie mit Widerständen umgehen können."
Teamentwicklung erfolgreich gestalten,"Sie lernen in diesem E-Learning  motivierende Ziele zu setzen, die Aufgabenverteilung klar zu regeln und eine konstruktive Kommunikation zu fördern. Dadurch wird Vertrauen aufgebaut und das Zusammengehörigkeitsgefühl gefördert."
Teamrollen kennen und produktiv machen ,"In dieser Lerneinheit lernen Sie das Rollenmodell nach Belbin kennen und in der Praxis anwenden. Sie erkennen, welche Rollen besetzt werden müssen und wer für welche Rolle geeignet ist."
Virtuelle Teams – Motivation und Vertrauen schaffen,"In dieser Lerneinheit lernen Sie virtuelle Teams mediengerecht zu motivieren, Vertrauen in virtuellen Teams aufzubauen. Außerdem lernen Sie soziale Vernetzung in virtuellen Teams zu fördern und mediengerechtes Feedback zu geben."
Teamphasen erfolgreich managen,"Sie lernen in diesem E-Learning die Teamphasen kennen und erkennen, in welcher Phase sich das Team befindet und wie Sie in jeder Phase die passenden Führungsinstrumente einsetzen können, um möglichen Dysfunktionen eines Teams entgegenzuwirken."
Virtuelle Teams- Kommunikation,"In dieser Lerneinheit lernen Sie digitale Medien entsprechend zu nutzen und zu verstehen. Dadurch können Sie die Zusammenarbeit sinnvoll regeln, Missverständnisse  vermeiden und virtuelle Meetings effizient leiten."
Interkulturelle Kommunikation in Teams,"In diesem E-learning lernen Sie die Kulturdefinitionen nach Geert Hofstede und Edward T. Hall kennen, um anschließend eine Sensibilität gegenüber kulturellen Unterschieden zu entwickeln. Sie werden die Ursachen von Missverständnissen in interkulturellen Teams verstehen und Führungswerkzeuge zum Managen interkultureller Teams anwenden können. Sie können dadurch Ihre interkulturelle Kompetenz zeigen, entwickeln und erweitern."
Konfliktmanagement für Führungskräfte,"Sie erkennen durch dieses E-Learning, wenn es Konflikte zwischen Mitarbeitern gibt und können einschätzen, auf welcher Eskalationsstufe sich der Konflikt befindet. Außerdem sind sie durch diese Lerneinheit in der Lage, die Mitarbeiter zur eigenständigen Konfliktlösung zu befähigen, geeignete Methoden der Konfliktlösung anzuwenden und Teams mit einem souveränem Konfliktmanagement vertrauensvoll zu führen."
Mitarbeiter motivieren,"In dieser Lerneinheit werden Sie die Grundprinzipien der Motivation kennenlernen, um Demotivation bei Mitarbeitern  erkennen und beseitigen zu können, sowie in der Lage zu sein, individuelle, auf die Mitarbeiter bezogene, Anreize zu schaffen. Außerdem lernen Sie wichtige Instrumente der Mitarbeitermotivation effektiv zu nutzen und Aufgabenbeschreibungen und Tätigkeiten motivierend zu gestalten."
Feedback geben,"In diesem e-Learning lernen Sie Feedback als Führungsinstrument kennen und wie es im Arbeitsalltag angewendet werden kann.
Anhand des „Johari-Fensters“ lernen Sie die Bedeutung des Unterschieds zwischen Selbst- und Fremdwahrnehmung kennen, um Mitarbeitern konstruktives Feedback geben zu können. Sie lernen außerdem, kritisches Feedback vorzubereiten und konstruktiv anzuwenden sowie positives Feedback so einzusetzen, dass es die Entwicklung der Mitarbeiter und des Teams fördert."
Neu in der Führungsrolle,"In dieser Lerneinheit lernen Sie, wie Sie zwischen Fach- und Führungsaufgaben unterscheiden können und die eigenen Stärken und Schwächen erkennen. Dadurch können Sie Erwartungen an Führungskräfte erkennen und mit diesen umgehen. Außerdem lernen Sie Führungsirrtümer zu vermeiden, auf die vielfältigen Anforderungen angemessen zu reagieren und die strategischen Aufgaben einer Führungskraft umzusetzen."
Aufgaben delegieren,"In dieser Lerneinheit lernen Sie delegierbare Aufgaben von nichtdelegierbaren Aufgaben unterscheiden zu können. Durch richtiges Kommunizieren können Sie anschließend professionell delegieren und lernen Instrumente kennen, um delegierte Aufgaben zu überwachen. Sie lernen außerdem Rückdelegation zu erkennen und einen produktiven Umgang mit Rückdelegation zu finden. Dadurch können Sie so delegieren, dass die Teammitglieder sich entwickeln können."
Führen nach Reifegrad,"Sie lernen in dieser Lerneinheit das Modell „Führen nach Reifegrad“ im Führungsalltag anwenden zu können und erkennen, in welchem „Reifegrad“ sich die Mitarbeiter befinden. Außerdem können Sie durch diese Lerneinheit Führungsmethoden flexibel an den Reifegrad der Mitarbeiter anpassen und Mitarbeiter mit abnehmender Motivation neu gewinnen. Sie lernen, wie man motivierte, aber fachlich noch nicht versierte Mitarbeiter vor Überforderung schützt. Hochmotivierten Mitarbeitern können Sie Freiheiten geben, ohne die Ziele aus den Augen zu verlieren."
Mitarbeitergespräche führen,"In dieser Lerneinheit lernen Sie Mitarbeitergespräche mit Ziel und Struktur zu führen, die richtige Einstellung zum Mitarbeiter zu finden und zentrale Kommunikationsregeln einzuhalten. Sie erlernen ebenso die Vorbereitung und Strukturierung professioneller Gespräche. Außerdem lernen Sie Feedback-, Kritik- und Beurteilungsgespräche zu führen, sowie Jahres-, Zielvereinbarungs- und Entwicklungsgespräche führen zu können."
